func_provider,func_mem,file_size,src_provider,dest_provider,same_region,upload_time,download_time
aws,128,0,unknown,unknown,True,0,0
aws,128,1KB,gcp,gcp,True,2.021,0.14
aws,128,0,unknown,unknown,True,0,0
aws,256,1KB,aws,aws,True,2.618,8.781
aws,256,1KB,gcp,gcp,True,0.786,0.098
aws,256,1KB,aws,aws,True,0.404,0.418
aws,512,1KB,aws,aws,True,0.82,4.404
aws,512,1KB,gcp,gcp,True,0.317,0.099
aws,512,1KB,aws,aws,True,0.206,0.193
aws,1024,1KB,aws,aws,True,0.36,2.1
aws,1024,1KB,gcp,gcp,True,0.187,0.074
aws,1024,1KB,aws,aws,True,0.113,0.154
aws,2048,1KB,aws,aws,True,0.195,1.091
aws,2048,1KB,gcp,gcp,True,0.173,0.065
aws,2048,1KB,aws,aws,True,0.106,0.067
aws,128,0,unknown,unknown,True,0,0
aws,128,1KB,gcp,gcp,True,4.0,0.301
aws,128,0,unknown,unknown,True,0,0
aws,128,1KB,gcp,gcp,True,1.401,0.1
aws,128,0,unknown,unknown,True,0,0
aws,128,1KB,gcp,gcp,True,2.717,0.382
aws,128,0,unknown,unknown,True,0,0
aws,128,1KB,gcp,gcp,True,2.22,0.28
aws,128,0,unknown,unknown,True,0,0
aws,128,1KB,gcp,gcp,True,1.481,0.353
aws,128,0,unknown,unknown,True,0,0
aws,128,1KB,gcp,gcp,True,3.378,0.281
aws,128,0,unknown,unknown,True,0,0
aws,128,1KB,gcp,gcp,True,2.619,0.341
aws,128,0,unknown,unknown,True,0,0
aws,128,1KB,gcp,gcp,True,1.553,0.32
aws,128,0,unknown,unknown,True,0,0
aws,128,1KB,gcp,gcp,True,3.118,0.34
aws,128,0,unknown,unknown,True,0,0
aws,128,1KB,gcp,gcp,True,3.639,0.441
aws,128,0,unknown,unknown,True,0,0
aws,128,1KB,gcp,gcp,True,2.4,0.28
aws,128,0,unknown,unknown,True,0,0
aws,128,1KB,gcp,gcp,True,2.73,0.321
aws,128,0,unknown,unknown,True,0,0
aws,128,1KB,gcp,gcp,True,1.37,0.32
aws,128,0,unknown,unknown,True,0,0
aws,128,1KB,gcp,gcp,True,2.1,0.262
aws,128,0,unknown,unknown,True,0,0
aws,128,1KB,gcp,gcp,True,3.141,0.341
